Time (s),Position (m),Velocity (m/s)
0,0.411,0.35
0.04,0.425,0.35
0.08,0.439,0.33
0.12,0.452,0.3
0.16,0.463,0.26
0.2,0.472,0.21
0.24,0.48,0.15
0.28,0.485,0.09
0.32,0.487,0.03
0.36,0.488,-0.03
0.4,0.485,-0.09
0.44,0.48,-0.15
0.48,0.473,-0.2
0.52,0.464,-0.25
0.56,0.453,-0.3
0.6,0.44,-0.33
0.64,0.427,-0.35
0.68,0.412,-0.36
0.72,0.398,-0.37
0.76,0.383,-0.37
0.8,0.368,-0.35
0.84,0.355,-0.32
0.88,0.342,-0.29
0.92,0.332,-0.24
0.96,0.323,-0.19
1,0.317,-0.13
1.04,0.312,-0.08
1.08,0.31,-0.02
1.12,0.311,0.05
1.16,0.314,0.11
1.2,0.32,0.16
1.24,0.327,0.22
1.28,0.337,0.27
1.32,0.349,0.3
1.36,0.362,0.33
1.4,0.375,0.36
1.44,0.39,0.36
1.48,0.404,0.36
1.52,0.419,0.35
1.56,0.433,0.34
1.6,0.446,0.31
1.64,0.458,0.27
1.68,0.468,0.23
1.72,0.476,0.18
1.76,0.482,0.12
1.8,0.485,0.06
1.84,0.486,0
1.88,0.485,-0.06
1.92,0.481,-0.12
1.96,0.475,-0.18
2,0.467,-0.23
2.04,0.457,-0.28
2.08,0.445,-0.31
2.12,0.432,-0.34
2.16,0.418,-0.35
2.2,0.403,-0.36
2.24,0.389,-0.36
2.28,0.374,-0.35
2.32,0.361,-0.33
2.36,0.348,-0.29
2.4,0.337,-0.22
2.44,0.331,-0.18
2.48,0.323,-0.19
2.52,0.315,-0.13
2.56,0.313,-0.04
2.6,0.312,0.02
2.64,0.314,0.08
2.68,0.319,0.14
2.72,0.325,0.2
2.76,0.335,0.25
2.8,0.345,0.29
2.84,0.358,0.32
2.88,0.371,0.35
2.92,0.385,0.36
2.96,0.4,0.36
3,0.414,0.35
3.04,0.428,0.34
3.08,0.441,0.32
3.12,0.453,0.28
