x,y,\sigma_y
-6.283185307179586232e+00,-2.680788550060233977e+00,4.266243284035211580e-01
-6.220037716152655882e+00,-2.399066184442906646e+00,1.509949453740707659e-01
-6.156890125125725532e+00,-2.350988111275889025e+00,-4.583107632034526535e-01
-6.093742534098794295e+00,-1.468656089771368300e+00,-3.076071605276651244e-01
-6.030594943071863945e+00,-5.209858650739755959e-01,-1.371101784909318777e-01
-5.967447352044933595e+00,1.756470022584795121e-01,-2.327089635712690230e-01
-5.904299761018003245e+00,1.019790454176582983e+00,-1.647784588624154889e-01
-5.841152169991072896e+00,2.409173665841186640e+00,4.948592550709836058e-01
-5.778004578964141658e+00,2.673849116211460597e+00,1.048826085146978837e-01
-5.714856987937211308e+00,3.079724140645898611e+00,-4.312082380062776110e-02
-5.651709396910280958e+00,3.565102839150016578e+00,1.088021889141310705e-02
-5.588561805883350608e+00,3.715645973857604645e+00,-1.305317171505577800e-01
-5.525414214856420259e+00,3.502453850593484574e+00,-4.848037146490756788e-01
-5.462266623829489021e+00,4.446261985800300742e+00,4.743339265032815444e-01
-5.399119032802558671e+00,3.598910545499978575e+00,-2.018799629211993629e-01
-5.335971441775628321e+00,3.538276427523288969e+00,5.771824950715409575e-02
-5.272823850748697971e+00,3.470149422200090150e+00,4.463565018945445662e-01
-5.209676259721767622e+00,2.414667994262802875e+00,-3.374441242790171547e-02
-5.146528668694836384e+00,2.067615424814750469e+00,2.906281590771679912e-01
-5.083381077667906922e+00,1.072765683091517097e+00,3.690998491075436760e-02
-5.020233486640975684e+00,2.761017397430372000e-01,2.201143952943807047e-02
-4.957085895614045334e+00,-7.794772844080731788e-01,-2.418349082142052797e-01
-4.893938304587114985e+00,-1.626255925467338770e+00,-3.179711358958836609e-01
-4.830790713560184635e+00,-1.801925309401372743e+00,2.256814032890286370e-01
-4.767643122533254285e+00,-2.173350759336584392e+00,4.940403236582242563e-01
-4.704495531506323047e+00,-2.890238002686027485e+00,3.123028793164868144e-01
-4.641347940479392697e+00,-3.908447872543003410e+00,-2.963842487666713543e-01
-4.578200349452462348e+00,-3.585602913572255801e+00,2.942919200612722497e-01
-4.515052758425531998e+00,-4.132938063489392633e+00,-1.374098492490301027e-01
-4.451905167398601648e+00,-3.888929592867695018e+00,6.549818650480565552e-02
-4.388757576371670410e+00,-3.275818091688833533e+00,4.823876967544058481e-01
-4.325609985344740060e+00,-3.586735792311709137e+00,-1.721762904046100218e-01
-4.262462394317809711e+00,-3.301443591305599945e+00,-3.644743528516023456e-01
-4.199314803290879361e+00,-2.404353954076665190e+00,-6.018437567922330089e-02
-4.136167212263949011e+00,-1.458515884649016714e+00,2.008985718752220873e-01
-4.073019621237017773e+00,-8.869095167564239324e-01,2.265545607831309649e-02
-4.009872030210087424e+00,9.514360350201298000e-03,1.335500642529290349e-01
-3.946724439183157074e+00,4.923147411585744315e-01,-1.740444106180234485e-01
-3.883576848156226724e+00,1.738136443394161290e+00,3.075219115555454241e-01
-3.820429257129295930e+00,2.538246194197335548e+00,3.994954390203186989e-01
-3.757281666102365580e+00,2.932812934458393084e+00,1.698233903331521910e-01
-3.694134075075435231e+00,3.592101937577551585e+00,3.132582460701199834e-01
-3.630986484048504437e+00,4.038547399337812926e+00,3.724697714839904084e-01
-3.567838893021574087e+00,4.250000701482735899e+00,3.404994931679011794e-01
-3.504691301994643737e+00,4.247093317299960091e+00,2.475277361498329221e-01
-3.441543710967712943e+00,3.613549723484730691e+00,-3.191880399911247723e-01
-3.378396119940782594e+00,4.162603762610072700e+00,4.509645319379991246e-01
-3.315248528913851800e+00,3.349784971828402291e+00,4.841888867556431997e-03
-3.252100937886921450e+00,2.468431551720589479e+00,-3.786022713128202044e-01
-3.188953346859991100e+00,1.832893776163934785e+00,-4.045493145702122595e-01
-3.125805755833060307e+00,1.592413267370691221e+00,5.232977796003224213e-02
-3.062658164806129957e+00,9.046143450760834037e-01,1.223037862164750855e-01
-2.999510573779199163e+00,-4.293021310546973890e-01,-4.231518221991020789e-01
-2.936362982752268813e+00,-4.489850942995845529e-01,3.453848222120687872e-01
-2.873215391725338463e+00,-1.546855606704668817e+00,4.572924163222191751e-03
-2.810067800698407670e+00,-1.893818836422906937e+00,3.538099441393082190e-01
-2.746920209671477320e+00,-2.541409443018919134e+00,3.142511610223446272e-01
-2.683772618644546970e+00,-2.975776166361379538e+00,3.758963833923496534e-01
-2.620625027617616176e+00,-3.511532374269360268e+00,2.046750301147554074e-01
-2.557477436590685826e+00,-4.406378244844314729e+00,-4.714127978939962604e-01
-2.494329845563755477e+00,-3.574489415674576342e+00,4.248759726868850395e-01
-2.431182254536824683e+00,-4.213515827978782546e+00,-3.066348356915825635e-01
-2.368034663509894333e+00,-3.718725043348318771e+00,-5.758487074022444752e-02
-2.304887072482963539e+00,-2.902283307485562069e+00,3.694993726352038266e-01
-2.241739481456033189e+00,-3.045955987861069580e+00,-2.918740267956960732e-01
-2.178591890429102840e+00,-2.270256985448714460e+00,-1.419109645014583476e-01
-2.115444299402172490e+00,-1.105388165822294155e+00,3.137326303299129426e-01
-2.052296708375241252e+00,-3.222714559465170714e-01,3.319558269956726093e-01
-1.989149117348310902e+00,4.511646634600000594e-01,3.148348581290049131e-01
-1.926001526321380553e+00,7.605106192265546072e-01,-1.610284231282405054e-01
-1.862853935294450203e+00,1.262328834627309604e+00,-4.082699489969149331e-01
-1.799706344267519853e+00,2.490747082287493530e+00,1.366216502529038479e-01
-1.736558753240588615e+00,2.567417626038833056e+00,-3.778884512534679274e-01
-1.673411162213658265e+00,3.894686274959999750e+00,4.737359807574568205e-01
-1.610263571186727916e+00,3.662501436753257344e+00,-9.989840386548276552e-02
-1.547115980159797566e+00,3.957495743929586141e+00,1.235173877556228206e-03
-1.483968389132867216e+00,3.866910987023533863e+00,-1.280168609560899950e-01
