Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18
Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2)
0,1.398,,,0,1.398,,,0,0.245,,,0,0.249,,,0,0.213,,,0,0.243,,,0,0.231,,,0,0.153,,,0,0.204,,,0,0.204,,,0,0.186,,,0,0.199,,,0,0.167,,,0,0.152,,
0.025,1.397,-0.02,,0.025,1.397,0,,0.025,0.245,0,,0.025,0.248,-0.01,,0.025,0.213,0,,0.025,0.243,-0.01,,0.025,0.231,-0.01,,0.025,0.153,-0.02,,0.025,0.204,0.01,,0.025,0.204,-0.01,,0.025,0.186,-0.01,,0.025,0.199,-0.01,,0.025,0.167,0.01,,0.025,0.152,-0.01,
0.05,1.397,-5.59E-04,0.5,0.05,1.397,0,0,0.05,0.245,0,-2.20E-14,0.05,0.248,-0.01,-0.1,0.05,0.214,0.01,-0.1,0.05,0.243,-0.01,-0.1,0.05,0.23,-0.01,0.1,0.05,0.152,0,0.4,0.05,0.204,0.02,0.1,0.05,0.204,-0.01,0,0.05,0.186,-0.01,2.20E-14,0.05,0.199,-0.01,0.1,0.05,0.168,0.02,0.2,0.05,0.152,-0.01,-0.1
0.075,1.397,0,0,0.075,1.397,0,-0.2,0.075,0.245,0,0,0.075,0.248,-0.02,0.1,0.075,0.214,8.55E-05,-0.2,0.075,0.242,-0.01,0.1,0.075,0.23,-0.01,-0.1,0.075,0.153,0,-0.4,0.075,0.205,0.02,-1.10E-14,0.075,0.203,-0.01,0.1,0.075,0.186,-0.01,0,0.075,0.199,-0.01,0,0.075,0.168,0.02,1.10E-14,0.075,0.152,-0.01,-0.1
0.1,1.398,0,-0.2,0.1,1.397,-0.01,0,0.1,0.244,0,0.1,0.1,0.247,-0.01,0.2,0.1,0.214,0,-0.1,0.1,0.242,-0.01,0.1,0.1,0.23,-0.01,-0.2,0.1,0.152,-0.02,-0.5,0.1,0.205,0.02,0,0.1,0.203,0,0.1,0.1,0.186,-0.01,-0.1,0.1,0.198,-0.01,0.1,0.1,0.169,0.02,0,0.1,0.151,-0.01,0.1
0.125,1.398,-0.01,-0.1,0.125,1.397,0,0.1,0.125,0.244,9.78E-05,0,0.125,0.247,-0.01,0,0.125,0.213,-0.01,-0.1,0.125,0.242,0,0,0.125,0.23,-0.02,-0.1,0.125,0.152,-0.02,0,0.125,0.206,0.02,-0.1,0.125,0.203,1.63E-04,-0.1,0.125,0.185,-0.01,-0.1,0.125,0.198,0,0.1,0.125,0.169,0.02,0.1,0.125,0.151,-0.01,0.1
0.15,1.397,0,0.1,0.15,1.397,-5.59E-04,0.1,0.15,0.244,0,-0.2,0.15,0.247,-0.01,-0.1,0.15,0.213,-0.01,-0.2,0.15,0.242,-0.01,-0.1,0.15,0.229,-0.02,-0.1,0.15,0.151,-0.02,0.1,0.15,0.206,0.01,-0.2,0.15,0.203,-0.01,-0.2,0.15,0.185,-0.01,-0.1,0.15,0.198,0,0.1,0.15,0.169,0.02,0.1,0.15,0.151,-0.01,0.1
0.175,1.397,-5.59E-04,0.1,0.175,1.397,0,0.2,0.175,0.244,-0.01,-0.1,0.175,0.246,-0.01,-0.1,0.175,0.213,-0.02,-0.1,0.175,0.242,-0.01,0,0.175,0.229,-0.02,0,0.175,0.151,-0.02,-0.1,0.175,0.206,0.01,-0.3,0.175,0.203,-0.01,0,0.175,0.185,-0.01,-0.1,0.175,0.198,0,0,0.175,0.17,0.02,-0.1,0.175,0.151,-0.01,0.1
0.2,1.397,0,0.1,0.2,1.397,0.01,0,0.2,0.244,-0.01,-0.1,0.2,0.246,-0.01,0,0.2,0.212,-0.02,0.1,0.2,0.241,-0.01,-0.1,0.2,0.228,-0.02,-0.1,0.2,0.151,-0.02,0.1,0.2,0.206,0,-0.2,0.2,0.203,-0.01,0.1,0.2,0.184,-0.02,-0.3,0.2,0.198,0,0,0.2,0.17,0.02,-0.1,0.2,0.15,0,0.2
0.225,1.397,0,0,0.225,1.397,0,-0.1,0.225,0.244,-0.01,-0.3,0.225,0.246,-0.01,-0.1,0.225,0.212,-0.01,-0.1,0.225,0.241,-0.01,-0.2,0.225,0.228,-0.02,-0.1,0.225,0.15,-0.01,0.3,0.225,0.206,0,0,0.225,0.203,0,0.1,0.225,0.184,-0.03,-0.2,0.225,0.198,1.59E-04,-0.1,0.225,0.171,0.01,-0.2,0.225,0.15,0,0.1
0.25,1.397,0,-0.1,0.25,1.397,0,-0.2,0.25,0.243,-0.02,0.1,0.25,0.245,-0.02,-0.3,0.25,0.212,-0.02,-0.4,0.25,0.241,-0.02,-0.1,0.25,0.227,-0.03,0.7,0.25,0.15,-0.01,0.1,0.25,0.206,0,-0.1,0.25,0.203,0,1.10E-14,0.25,0.183,-0.03,-0.3,0.25,0.198,-0.01,-0.4,0.25,0.171,0.01,-0.3,0.25,0.151,0,-0.1
0.275,1.398,5.59E-04,-0.1,0.275,1.397,-0.01,70.7,0.275,0.243,-0.01,2.2,0.275,0.245,-0.03,-0.4,0.275,0.211,-0.04,0.9,0.275,0.24,-0.02,1.9,0.275,0.226,0.01,3.7,0.275,0.15,-0.01,-0.1,0.275,0.206,-0.01,-0.3,0.275,0.203,0,0,0.275,0.182,-0.04,-0.6,0.275,0.198,-0.02,-0.6,0.275,0.171,0,-0.5,0.275,0.151,0,-0.3
