Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #10	Run #10	Run #10	Run #10	Run #11	Run #11	Run #11	Run #11	Run #12	Run #12	Run #12	Run #12	Run #13	Run #13	Run #13	Run #13	Run #14	Run #14	Run #14	Run #14	Run #15	Run #15	Run #15	Run #15	Run #16	Run #16	Run #16	Run #16	Run #17	Run #17	Run #17	Run #17	Run #18	Run #18	Run #18	Run #18
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	1.398			0.000	1.398			0.000	0.245			0.000	0.249			0.000	0.213			0.000	0.243			0.000	0.231			0.000	0.153			0.000	0.204			0.000	0.204			0.000	0.186			0.000	0.199			0.000	0.167			0.000	0.152		
0.025	1.397	-0.02		0.025	1.397	0.00		0.025	0.245	0.00		0.025	0.248	-0.01		0.025	0.213	0.00		0.025	0.243	-0.01		0.025	0.231	-0.01		0.025	0.153	-0.02		0.025	0.204	0.01		0.025	0.204	-0.01		0.025	0.186	-0.01		0.025	0.199	-0.01		0.025	0.167	0.01		0.025	0.152	-0.01	
0.050	1.397	-5.59E-4	0.5	0.050	1.397	0.00	0.0	0.050	0.245	0.00	-2.2E-14	0.050	0.248	-0.01	-0.1	0.050	0.214	0.01	-0.1	0.050	0.243	-0.01	-0.1	0.050	0.230	-0.01	0.1	0.050	0.152	0.00	0.4	0.050	0.204	0.02	0.1	0.050	0.204	-0.01	0.0	0.050	0.186	-0.01	2.2E-14	0.050	0.199	-0.01	0.1	0.050	0.168	0.02	0.2	0.050	0.152	-0.01	-0.1
0.075	1.397	0.00	0.0	0.075	1.397	0.00	-0.2	0.075	0.245	0.00	0.0	0.075	0.248	-0.02	0.1	0.075	0.214	8.55E-5	-0.2	0.075	0.242	-0.01	0.1	0.075	0.230	-0.01	-0.1	0.075	0.153	0.00	-0.4	0.075	0.205	0.02	-1.1E-14	0.075	0.203	-0.01	0.1	0.075	0.186	-0.01	0.0	0.075	0.199	-0.01	0.0	0.075	0.168	0.02	1.1E-14	0.075	0.152	-0.01	-0.1
0.100	1.398	0.00	-0.2	0.100	1.397	-0.01	0.0	0.100	0.244	0.00	0.1	0.100	0.247	-0.01	0.2	0.100	0.214	0.00	-0.1	0.100	0.242	-0.01	0.1	0.100	0.230	-0.01	-0.2	0.100	0.152	-0.02	-0.5	0.100	0.205	0.02	0.0	0.100	0.203	0.00	0.1	0.100	0.186	-0.01	-0.1	0.100	0.198	-0.01	0.1	0.100	0.169	0.02	0.0	0.100	0.151	-0.01	0.1
0.125	1.398	-0.01	-0.1	0.125	1.397	0.00	0.1	0.125	0.244	9.78E-5	0.0	0.125	0.247	-0.01	0.0	0.125	0.213	-0.01	-0.1	0.125	0.242	0.00	0.0	0.125	0.230	-0.02	-0.1	0.125	0.152	-0.02	0.0	0.125	0.206	0.02	-0.1	0.125	0.203	1.63E-4	-0.1	0.125	0.185	-0.01	-0.1	0.125	0.198	0.00	0.1	0.125	0.169	0.02	0.1	0.125	0.151	-0.01	0.1
0.150	1.397	0.00	0.1	0.150	1.397	-5.59E-4	0.1	0.150	0.244	0.00	-0.2	0.150	0.247	-0.01	-0.1	0.150	0.213	-0.01	-0.2	0.150	0.242	-0.01	-0.1	0.150	0.229	-0.02	-0.1	0.150	0.151	-0.02	0.1	0.150	0.206	0.01	-0.2	0.150	0.203	-0.01	-0.2	0.150	0.185	-0.01	-0.1	0.150	0.198	0.00	0.1	0.150	0.169	0.02	0.1	0.150	0.151	-0.01	0.1
0.175	1.397	-5.59E-4	0.1	0.175	1.397	0.00	0.2	0.175	0.244	-0.01	-0.1	0.175	0.246	-0.01	-0.1	0.175	0.213	-0.02	-0.1	0.175	0.242	-0.01	0.0	0.175	0.229	-0.02	0.0	0.175	0.151	-0.02	-0.1	0.175	0.206	0.01	-0.3	0.175	0.203	-0.01	0.0	0.175	0.185	-0.01	-0.1	0.175	0.198	0.00	0.0	0.175	0.170	0.02	-0.1	0.175	0.151	-0.01	0.1
0.200	1.397	0.00	0.1	0.200	1.397	0.01	0.0	0.200	0.244	-0.01	-0.1	0.200	0.246	-0.01	0.0	0.200	0.212	-0.02	0.1	0.200	0.241	-0.01	-0.1	0.200	0.228	-0.02	-0.1	0.200	0.151	-0.02	0.1	0.200	0.206	0.00	-0.2	0.200	0.203	-0.01	0.1	0.200	0.184	-0.02	-0.3	0.200	0.198	0.00	0.0	0.200	0.170	0.02	-0.1	0.200	0.150	0.00	0.2
